config;loss;accuracy;val_loss;val_accuracy;epoch;early_stop
1;1.8415;0.5199;2.6713;0.3526;20;FALSE
2;2.1275;0.461;2.584;0.3557;20;FALSE
3;1.3277;0.6261;2.8097;0.3713;11;TRUE
4;1.3918;0.6263;2.7196;0.3525;13;TRUE
5;1.9486;0.4914;2.7707;0.3351;20;FALSE
6;2.2692;0.4422;2.6231;0.3517;20;FALSE
7;1.3164;0.6331;2.955;0.3539;13;TRUE
8;1.1655;0.7043;2.585;0.3712;19;TRUE
9;2.054;0.4604;2.8303;0.3096;20;FALSE
10;2.1161;0.4525;2.6128;0.3391;20;FALSE
11;1.3961;0.6035;2.6851;0.3743;11;TRUE
12;1.1825;0.674;2.5708;0.3749;18;TRUE
13;2.0231;0.4675;2.8129;0.3222;20;FALSE
14;2.3307;0.422;2.7351;0.3168;20;FALSE
15;1.3681;0.6106;2.8407;0.3674;14;TRUE
16;1.4313;0.6263;2.4942;0.3721;18;TRUE
17;1.8218;0.5191;2.9527;0.3048;15;TRUE
18;1.9286;0.5024;2.7446;0.324;20;FALSE
19;1.0563;0.6862;2.7647;0.3866;13;TRUE
20;1.359;0.623;2.6193;0.3656;18;TRUE
21;1.814;0.5179;2.9192;0.3102;16;TRUE
22;2.0625;0.4864;2.779;0.3146;20;FALSE
23;1.1205;0.6709;2.8694;0.3847;14;TRUE
24;1.3644;0.6378;2.5302;0.3733;20;FALSE
25;1.5674;0.5517;2.4521;0.3953;16;TRUE
26;1.964;0.4532;2.5585;0.3669;17;TRUE
27;1.9997;0.4402;2.4249;0.395;20;FALSE
28;1.1883;0.7109;2.7475;0.406;15;TRUE
29;1.414;0.6674;2.7307;0.4038;18;TRUE
30;2.0638;0.5148;2.7118;0.3896;20;FALSE
31;1.6188;0.5723;2.5756;0.4011;19;TRUE
32;1.9934;0.5048;2.5838;0.3967;20;FALSE
33;2.2449;0.448;2.6224;0.3789;20;FALSE
34;1.8292;0.5145;2.4683;0.4057;20;FALSE
35;2.4901;0.3899;2.7141;0.3642;20;FALSE
36;2.6191;0.369;2.7516;0.3522;20;FALSE
37;2.2344;0.424;2.5098;0.3926;20;FALSE
38;2.4655;0.3717;2.6802;0.3493;20;FALSE
39;2.5087;0.3766;2.7988;0.3334;20;FALSE
